nama_pengguna,tanggal,ulasan,label_sentimen,nama_layanan kesehatan
,,,,RS Rato Ebu
,,,,RS Rato Ebu
Nadifa Almaira,2 bulan lalu,"Anak syakila dirawat di ruang anak lantai 3. Untuk dokter dan perawatnya bagus .
Anak saya dirawat hingga satu minggu di rs ini . Dan perawatannya benar benar bagus.. Fasilitasnya jg bagus",positif,RS Rato Ebu
Mamluah Marhamah,sebulan lalu,"Sya keluarga bayi marhamah yg dirawat diruang bayi
Alhamdulillah perawatan nya degan penuh kasih sayang sampai sebuh and pelayananya jugak baik and ramah and dokter jugak baik degan kasih sayang",positif,RS Rato Ebu
angga hidayat,5 bulan lalu,"Alhamdulillah,, Saya suami dari pasien Dania Noviandary di ruangan camelia, manurut kami untuk ruangannya sangat bersih dan nyaman, untuk dokternya sangat ramah, baik dan sangat peduli dengan istri saya. Serta untuk bidan dan perawatnya juga selalu sigap, ramah, baik, lembut ketika memeriksa. Untuk makanannya juga sudah baik tepat waktu. Terima kasih untuk semua Dokter, Bidan, Perawat dan semua Petugas di RSUD Syamrabu Bangkalan, sudah merawat istri saya dari pertama sampai alhamdulillah sehat melahirkan. Sukses selalu untuk RSUD Syamrabu Bangkalan.",positif,RS Rato Ebu
Agus Salim,2 bulan lalu,"Saya atas keluarga pasien yang bernama nur hayati berterima kasih atas layanan dengan baik di ruangan ICU /tulip. Perawat dan dokter nya sangat baik hati.
Smga semakin sukses seterusnya dan diberi kesehatan",positif,RS Rato Ebu
Herlina Lina,8 bulan lalu,"Gibran wira atmaja dirawat di Ruang Edelwis, alhamdulillah pelayanannya sangat memuaskan, dokternya ramah, visite sesuai jadwal dan penanganan utk keluhan pasien cepat penanganx, perawat ramah, setiap keluhan pasien langsung dikonsulkan dan mendapatkan penanganan sesuai keluhan. untuk kebersihan ruangan sdh sangat memuaskan. alhamdulillah anak sy sdh sembuh n aktif lg stlh 3hr perawatan di RSUD syarifah ambami rato ebuh. terimakasih bu dokter n Ner's irna E. semoga slalu diberi kesehatan Aamiin YRA",positif,RS Rato Ebu
xinthink,2 bulan lalu,"saya dari keluarga pasien MISTIYAH bin Munawan Dari ruangan ICU yang beralamatkan Dsn. parseh selatan, untuk pelayanannya sangat baik, mulai dari docter, perawat sampai kebersihannya sangat"" terjaga serta melayani pasien dengan sungguh"" alhamdulillah betul"" amanah serta berjalan dengan prosedur yang ada",positif,RS Rato Ebu
Aida Amin,5 hari lalu,Alhamdulillah kami selaku pasein yg bernama buk salmah sangat puas dgn pelayanan d d RS sini d ruangan camilia,positif,RS Rato Ebu
Ibarahim Putra,2 bulan lalu,M.Maulana Ibrahim Ruang Anak(E) saya orang tuanya mengucapakan banyak terimakasih yg telah merawat anak kami.pelayanannya GERCEP petugasnya ramah dan sopan. moga allah yg balas kebaikannya semua,positif,RS Rato Ebu
Pika Pikok,3 bulan lalu,"Saya suami dari siti sumtumi yg di rawat di ruang camelia, menurut saya pelayanannya di sini sangat baik,dokter desak baik menjelaskannya dengan secara detail bidannya juga ramah baik sabar sopan perawatnya juga sopan² dan ramah baik pokok nya puas banget",positif,RS Rato Ebu
Luluk Karomah 26,sebulan lalu,"Saya keluarga bayi Ny. Luluk Karomah, bayi saya dirawat dg baik di RS ini. Pelayanan perawat disini Alhamdulillah sangat baik, ramah.
Informasi yg disampaikan jelas.",positif,RS Rato Ebu
Moh Ubaidillah,sebulan lalu,"Istri saya Siti simah melahirkan di rawat RSUD Syarifah Ambami Rato Ebu Alhamdulillah pelayanan baik dan keluarga ku Senang dengar pelayanan yang bagus istri dan anak ku sehat . Alhamdulillah ""'pelayanan cocok
Saya sekuarga mengucapkan terima kasih kepada semua karyawan semoga Allah memberikan pahala AAmin",positif,RS Rato Ebu
Asya Rezpector,sebulan lalu,"Saya keluarga dari an.Raisa sudah dirawat diruang ICU Tulip selama 3hr .Alhamdulillah sudah pindah ruangan selama di ICU terimakasih kepada dokter dan perawat ruang ICU pelayanannya sangat bagus,perawatnya baik semoga perawat dan dokter sll diberikan kesehatan",positif,RS Rato Ebu
Edi Kuswanto,3 bulan lalu,"Saya suami nyonya Nurul dari Blega yang di rawat di ruang camilia
Selama dirawat di RSUD Syarifah Ambami rato ebu pelayanannya sangat bagus,baik,ramah dan kebersihan nya juga terjaga
Untuk dr.Desak sangat baik dan ibu bidan dan perawatnya juga baik dan sabar
Terima kasih",positif,RS Rato Ebu
Aida Pesek,sebulan lalu,"Nama: ida maulida
Kamar kamilia,
Bismillahh trimakasii banyak atas pelayanan d rsud disini,alhamdulillaa pelayanan baik2 kamarnya jgk bersih,mkanannya jgk ok.meskipunn kamren sempet kaget karna mau di kuret,tp alhamdulillaa banget,akhirnya semua baik2 saja,alhamdulillaa gk jadi kurett,terimakasii banyakk untuk semua perawat yg baik, dan sll menyemangati aqu,dengan cara bercanda tawa,ngasi aq smngat dengan banyak senyum dan tegar,ap lagi buat ibu dokter desakk,dan jugk dokter,siaapa y lupa aqu,pokoknya trimakasii banyakk,yg suda ngasi saya penanganan yg baikk,,,,,pokoknya debezt dech yg kali in skli lagii trimakasiii",positif,RS Rato Ebu
syam ana,sebulan lalu,"Saya ibu bayi nyoya jamila,terimakasi ruang melati sudah nerawat anak saya sampai anak saya pulang sembuh.perawatnya sangat ramah dan pelayanannya nemuaskan",positif,RS Rato Ebu
Jaka Jaka kelana,3 bulan lalu,"Assalamualaikum sy Tanti Tante dari anak Zaki umur 6 bulan dari dsn.matomoguk kec.geger
Di rawat di ruang Edelwaise selama 4 hari menilai bahwa pelayanan di ruang anak sangat luar biasa Krn semua petugas perawat tanggap dan dokter pun juga baik.semoga tetap dipertahankan",positif,RS Rato Ebu
EsYe,sebulan lalu,"Sangat responsif dan tanggap dalam melayani pasien
Khususnya kepada kakak sepupu saya yang operasi dan dirawat di ruangan perawatan 3 Sakura
Pelayanan is the best",positif,RS Rato Ebu
Muzey Yanah,2 bulan lalu,"Ibu dari anak Achmad Azzam Fathur Rohman dari tanah merah
Anak sya di rawat oleh dokter indah awal masuk tidak sadar Alhamdulillah sekarang sudah boleh pulang pelayanan nya saen ...perawat nya baik semua saya sangat puas di rawat di ruangan edelweis",positif,RS Rato Ebu
,,,,RS Rato Ebu
Andy Hariyanto,setahun lalu,Alhamdulillah anak saya ALKAN dirawat di ruang Edelweis dan mendapatkan pelayanan yang bagus dan ruangan yang bersih serta penanganan yg terbaik.. Dokternya mudah dihubungi dan visitenya selalu ontime. Terbaikkkkk,positif,RS Rato Ebu
Diana Nadifah,3 bulan lalu,"Sy ibu siti dari an. Diana nadifa(16th) yg di rawat di ruang edelwaise RSUD bangklan
Alhamdulillah.... Ditangani dengan cepat dan tanggap dan anak bisa lekas sembuh trimksih atas pelayanan yg diberikan oleh dokter dan perawat edelwaise semoga sehat selalu....",positif,RS Rato Ebu
Alifia,sebulan lalu,Pelayanan bagus perawat penjaga selalu siap siaga namun ada beberapa yg perlu diperbaiki yaitu tidak semua perawat penjaga ramah untuk sya di Bougenville ruang erawatan 4 tgl 25-29 february petugas malam tidak seramah petugas pagi .special thanks untuk MBK Poppy dan temen2 petugas pagi anda sy kasi bintang 5 tetapi untuk petugas MLM sy kasi bintang 3 karena KLO ngobrol dgn pasien kurg rmah dan kamar mandi kurg bersih trimksih,positif,RS Rato Ebu
Abdul Wahab,5 bulan lalu,Pelayanan nya luarbiasa. Terutama bagian perawat di kamar edelweis 7. Menurut sy lebih bagus dari RS lukas dan RS ana medika. Sy mengharap kwalitas pelayanan nya dipertahankan atau kalau bisa lebih baik lagi. Sy tidak mentangka akan sebagus ini. Kalau di bangkalan ada RSUD bagus mengapa harus di bawa ke RS di surabaya .,positif,RS Rato Ebu
Maidi Liar,2 bulan lalu,Saya dari keluarga an.aprilia mngucpkan terima ksih atas perawatan anak sya selama 9hri di icu tulip . Perawat dan dokter nya juga telaten mmberikan pelayanan kepada anak saya. Smga semakin sukses icu dan rsud syamrabu,positif,RS Rato Ebu
Ika Nurlaili,2 bulan lalu,Saya pasien di ruang flamboyan yg awal mula masuk sesak banget setelah melahirkan usia 2bulan. Alhamdulillah sekarang hari ke5 diruang flamboyan keadaan saya sudah membaik dan tidak sesak lg. Terima kasih dokter n perawat diruang flamboyan,positif,RS Rato Ebu
Aris Fahmi,2 bulan lalu,Tolong bagi petugas cleaning servis nya di breafing dan di tindak lanjuti agar supaya kalau sudah memasuki area kamar Asoka khususnya ruang HCU agar melatakan tempat sampahnya ataupun menutup pintu pelan pelan aja karna para pasien bisa terganggu bila terlalu keras apalagi bagi pasien yang punya penyakit jantung,negatif,RS Rato Ebu
Mu Arif,sebulan lalu,"Terimakasih RSUD syafifah Ambami Rato ebu, pelayanan nya sangat rama,cepat menangani pasien tersebut ya itu istri saya yang bernama: HAMILATUS ZAHROH yang sa'at ini di kamar Camelia yang sudah melewati operasi Alhamdulillah anak dan istri saya sehat semua nya, terima kasih kepada dokter yang telah menyelamatkan anak pertama saya sama istri saya, semoga RSUD semakin jaya dan selalu memberikan pelayanan terbaik...
Alhamdulillah RSUD pelayanan nya: perawatan sangat Rama,cepat menangani pasien,tempat/kamar tersebut nyaman dan bersih,",positif,RS Rato Ebu
Husna Oppo,3 minggu lalu,"Saya keluarga dari bapak Saliman di rawat di ruang Flamboyan, pelayanannya bagus, perawatnya ramah, dokternya bagus.",positif,RS Rato Ebu
Robiatul Adawiyah,sebulan lalu,"Saya Robiah, dari Ruangan Camelia, disini pelayanannya sangat ramah, para petugas kesehatan, perawat bidan dan dokter sangat baik, terimakasih sudah melayani saya dengan baik..",positif,RS Rato Ebu
Choirul Wati,3 bulan lalu,"Saya keluarga dari bapak moh soleh, alhamdulillah setelah perawatan di ruangan flamboyan ruangan kamar 6.1 #
selama 3hari yang awalnya sesak sekarang sudah tidak sesak lagi. Pelayanan dokter dan perawatnya baik dan ramah semua. Tidak dipungut biaya apapun gratis. Terima kasih ruang flamboyan",positif,RS Rato Ebu
Risma Damayanti,2 bulan lalu,"Rs mematikan orang perawat iicu kejam masak masker oksigen lepas di biarkan sedangkan di ruangan banyak perawat jaga, dan wajar saya tanya perkembangan bapak saya setiap harinya itu pun beban bagi mereka sangat buruk sekali pelayananya hati nuraninya tidak ada sama sekali buat ngerawat pasien se baik mungkin tidak ada, dan ambulans tidak benyedikan oksigen yg full untuk sampai ke tempat tujuan, minta rujukan pun di persulit nunggu setengah hari baru di rujuk, semoga allah yg membalas perbuatannya ya terimakasih mohon maaf yg sebesar-besarnya",negatif,RS Rato Ebu
Muhamad Alif,3 bulan lalu,Anak saya d rawat d ruangan melati atas nama Risdiana dari blega dengan pelayanan terbaik menurut saya dari kampung dan yang benar2 melayani meskipun menggunakan bpjs gak ada yang di beda2 kan gak kayak RS kampung2 lain jagan ragu karna mau menggunakan bpjs pasti sama pelayanan nya yg terbaik,positif,RS Rato Ebu
Amir Udin,sebulan lalu,di ruang lily alhadulilah pelayanan bagus sangat puas terimabkasih kepada dokter dan semua perawat yang menangani bapak basuni selama 4 hari,positif,RS Rato Ebu
Ruji Mat,2 bulan lalu,"Pasien Aliatul Ruang Anak Edelweis
Kami keluarga mengucapkan terimakasih banyak atas pelayananya petugas ruang anak, anak sya dinyatakan sembuh sehat boleh pulang, kami sangat puas atas semua pelayannya cepat dan ramah serta tanggap. Skali lagi trimakasi banyak semoga allah yg balas semuanya, aamiin",positif,RS Rato Ebu
Muhlis Talageh,sebulan lalu,"Anak qyara ruang edelweis ruang anak.
Saya merasa puas dan nyaman perawatan di RSUD ini.
Alhamdulillah tidak ada rasa kecewa
Dgn pelayanan para crew di rumah sakit ini.",positif,RS Rato Ebu
CHINDY RAGILLIA OFFICIAL,2 bulan lalu,"Saya Chindy Di Rawat Di Ruangan Camellia, Pelayanan Sangat Menyenangkan, Perawat & Dokternya Super seru tidak tegang, Makan pagi siang sore tidak pernah terlambat,rasa dan penyajian sangat nikmat, trimakasih RSUD Syarifah Ambani Rato Ebu Sukses...",positif,RS Rato Ebu
Hamim Ismail,2 bulan lalu,"Saya keluarga pasien an nuril akmal d rawat d ruang icu, karna terkenak penyakit infeksi ganas pada paru paru alhamdulillah sekarang dinyatakan sehat dan alhamdulillah pelayananya bagus ramah tegas baik dan anak kami dilayanin dengan sepenuh hati terima kasih untuk dokter dan para perawatnya semoga sehat selalu",positif,RS Rato Ebu
Breeders Kucing semarang,3 minggu lalu,"Ruangan flamboyan,bapakku kena kanker paru2 stadium 4
Tapi pelayan susternya jelek,katanya kalau infusnya habis harus laporan,giliran laporan malah wajah susternya marah,kok habis,apa di sengaja,terus waktu ganti infus ke bapakku sebagai pasien juga gak sopan bicaranya,masak susternya bilang gini: bapak sengaja ya digerak2in apa bagaimana,kata sengaja yg gak aku suka,hallo suster itu pasien gak mungkin di sengaja,kita pun gak tau apa efek nya apa,tapi kalau garna bergerak terus infusnya cepet habis apakah brrpengaruh??????sedangkan infusnya kecil,aneh bgt ini suster😡😡😡😡",negatif,RS Rato Ebu
Rizal Arief,2 bulan lalu,"Nindy yunita saleh
Dirawat di Ruang Camelia.
Alhamdulillah pelayanannya bagus, ruangan bersih, kamar mandi jg bersih, hanya saja AC kurang terasa dingin.
Selebihnya worth it.",positif,RS Rato Ebu
Moh Morsid,seminggu lalu,"Saya keluarga nya pak usman
Ruangan bougenvil.
Palayanan nya cukup baik
Perawat nya baik sabar semua",positif,RS Rato Ebu
,,,,RS Rato Ebu
Midi Naga,sebulan lalu,"Saya dari keluwarga pasen atas nama mosarrofah dirawat di ruwang icu tulip alhamdulilah bisa pinda cepat atas layanan semowa dokter yng terbaik ini
Dan saya bilang sangat berterima kasih sebesar besarnya",positif,RS Rato Ebu
